Cluster,source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp
IC_4725,4092900256038008320,277.69659068533366,-19.24296289311271,1.4809603188820395,-1.5458987225234733,-6.2058631223893626,13.921116,1.2112656000000002
IC_4725,4092903348415340288,277.92361898312873,-19.168018705291885,1.5944690262055743,-1.6833607836062532,-6.071167652609131,13.736558,1.2309226999999998
IC_4725,4092900560878641408,277.6926527181136,-19.231019713236964,1.6399662948944842,-1.3768302305182023,-6.2746009964649065,13.989814,1.2803097
IC_4725,4092902489421833600,277.8842866382685,-19.237726700243822,1.5922648964198718,-2.189076497869595,-5.916749006677064,16.03838,1.6893501
IC_4725,4092900874513280384,277.77187639919134,-19.19261534194841,1.4619275605922248,-1.5961209698096142,-5.563139439616541,17.230964999999998,1.8826637
IC_4725,4092901213715391232,277.7276601387017,-19.166429439327437,1.5612905266039423,-1.8602057272255927,-6.228886430683646,17.571903,2.0400639
IC_4725,4092901355550339584,277.9188608284272,-19.284093655136207,1.5499055229679963,-1.3459425027154528,-5.824087615911098,13.998027,1.2846775
IC_4725,4092901596068602624,277.8781269065657,-19.264632847924176,1.5541506110661925,-2.154801510200677,-5.5659395586835325,10.317061,0.58815
IC_4725,4092901626033989248,277.89352155059987,-19.258555536651443,1.6852239431584264,-2.4526874933304867,-5.332214641118181,17.954437,1.7887611
IC_4725,4092901660393713408,277.9155945445113,-19.2662493484237,1.5658118085334318,-1.799199683321859,-5.7135325604493055,13.983448,1.2639484
IC_4725,4092901699147763328,277.92145817688265,-19.25492324469432,1.5747822451939415,-1.5264827644958574,-6.15488663104501,9.493339,0.6175337
IC_4725,4092902588104958720,277.8881320235926,-19.216797460325395,1.6536135768400382,-1.758932114701602,-6.211562780040685,12.030996,1.011096
IC_4725,4092900908873037056,277.750207131452,-19.18945882957401,1.80928976732755,-2.5583519851698164,-5.696853982476789,17.239481,1.8286743000000003
IC_4725,4092902622466433152,277.8374063341451,-19.24400687939325,1.5997295792594752,-1.6595178990492212,-6.273568573263757,15.327552,1.6215124
IC_4725,4092885992349080320,277.49286283418513,-19.36136044456652,1.5887406514679785,-1.7845818654956742,-6.221799490536298,12.503116,0.7860613000000001
IC_4725,4092903928136620928,277.9835570313816,-19.16997411417751,1.534351640825813,-1.5071930688932345,-6.007193931318506,16.066626,1.6517677
IC_4725,4092873695966184320,277.59236148240313,-19.366652886574887,1.4910522016272374,-1.8154358358848728,-6.0201579611595655,8.9148855,0.3843955999999999
IC_4725,4092874481836761344,277.58625845271143,-19.35352948359071,1.5186614607460822,-1.8438738728065955,-5.934334504879321,13.850802,1.1365099
IC_4725,4092885790550977536,277.3734812005569,-19.33077314426105,1.6296688543991944,-2.498394883232176,-6.363074021618756,16.451921,
IC_4725,4092903898171013504,278.0072100911052,-19.18031926751055,1.5180052138504818,-1.60010460729324,-6.107737839983912,13.930386,1.2596531000000002
IC_4725,4092853419320849280,278.04024747573243,-19.349146420444384,1.515930682996906,-1.6251974195647052,-6.289276697439783,13.291209,1.0653906000000002
IC_4725,4092900251640926848,277.69250220325887,-19.252000803963742,1.5869816749146184,-1.4250230669671082,-6.393806416289535,15.059594,1.4530373
