Cluster,source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp
NGC_2632,665417157162598144,128.09764133244096,20.995746217946127,5.414073790453863,-35.184755918062976,-14.473374163493125,12.566905,1.2242688999999998
NGC_2632,610194902914961664,131.8086679902687,16.396434035096647,5.3385352660394565,-37.57926912921412,-10.968668663911696,10.509566,0.74651337
NGC_2632,662828833775087488,128.07427590236242,19.54702410218701,5.538681678637083,-33.56422710361753,-12.330466198555214,16.881556,2.8191824
NGC_2632,662841379375655936,128.82403048945042,19.63613598632261,5.287558695525504,-33.975555565301235,-12.881897180416663,11.6327715,0.9592161
NGC_2632,664281396011231744,129.384972281191,19.521608170650023,5.353903170325143,-34.55498298231837,-13.41162105665626,15.271185999999998,2.3128004
NGC_2632,663063068408290944,128.39127371711828,20.07371575519845,5.282438419229254,-34.530232689839,-13.729575518415494,16.179205,2.5817232000000003
NGC_2632,663067638253511552,128.19482464084714,19.99767176581925,5.257083461677041,-34.274657513664025,-13.351316945658157,16.722310999999998,2.7532806
NGC_2632,663070352672827136,128.28092553154863,20.130011443687245,5.465530923721508,-34.72969239613145,-13.506147300160393,13.569841,1.5948524
NGC_2632,663078530290541952,128.42786327649677,20.24441579850452,5.364663783666009,-34.49750166075154,-14.240276702086804,13.411098,1.5091639
NGC_2632,663140171661012480,127.87430869761644,20.410365863838948,5.458999261424537,-34.59248263559704,-13.308133610236574,14.000644,2.02849
NGC_2632,663781564897118592,126.87757219906383,20.21822434352207,5.373671373921331,-34.22854566224829,-13.584151677560062,13.5463915,1.5851383
NGC_2632,664281018054115968,129.35979224463196,19.486841784081548,5.441300263419942,-35.629385788883546,-12.947129461115289,13.3710375,1.514719
NGC_2632,663782904926907392,126.96070952027638,20.24335853511845,5.299640263103491,-33.60022123799777,-13.470784940756705,13.849449,1.682478
NGC_2632,662805061132155008,128.32476500933473,19.275708068429758,5.426575639850324,-34.902184241303466,-13.402621843560643,16.815947,2.985034
NGC_2632,663916289430964480,127.32846856406844,20.717935441794392,5.111920789394111,-35.44111220656565,-13.991805136299613,15.989424,2.501154
NGC_2632,662800456927247744,128.93799923113372,19.640532465940304,5.345811271810682,-35.85634865020881,-12.997911758252382,12.634912,1.2281075
NGC_2632,662798086105290112,129.0416034221126,19.63848246597948,5.145025741804115,-35.32977259642897,-12.697077867839552,17.960318,-0.17067146
NGC_2632,659671624791715840,129.36261116009027,18.81090321356056,5.427964674990874,-35.472176339342774,-12.812189384961874,17.400303,2.8221989
NGC_2632,659668635494494848,129.26544606712628,18.667302844503137,5.456339569566225,-36.59705446400305,-13.049142136554256,13.590301,1.6175785
NGC_2632,659665096441437184,129.38765841668294,18.65428150958084,5.482832634335493,-36.789723007619656,-12.455408223329869,10.531589,0.7574091
NGC_2632,659645030354241536,129.40910515567646,18.4824283800632,5.246753655425184,-35.46918657583872,-11.578977162190233,12.77134,1.2981644
NGC_2632,659636406059748608,128.642823605623,18.79900195719452,5.064011561424621,-34.517574921180824,-12.59791558149452,16.054152,2.601266
